X;Y;Z
598171.7403;135045.1142;2361.461844
598236.0581;135045.1142;2344.022507
598300.3758;135045.1142;2330.772033
598364.6936;135045.1142;2324.592839
598429.0113;135045.1142;2325.783591
598493.3291;135045.1142;2328.401968
598557.6468;135045.1142;2327.909759
598621.9646;135045.1142;2333.293282
598686.2823;135045.1142;2342.841932
598750.6001;135045.1142;2357.106867
598814.9178;135045.1142;2371.480878
598879.2356;135045.1142;2384.887062
598943.5533;135045.1142;2391.794249
599007.8711;135045.1142;2405.835597
599072.1888;135045.1142;2434.584041
599136.5066;135045.1142;2465.886688
599200.8243;135045.1142;2497.037637
599265.1421;135045.1142;2506.682408
599329.4598;135045.1142;2520.280731
599393.7775;135045.1142;2530.983845
599458.0953;135045.1142;2538.5515
599522.413;135045.1142;2541.376556
599586.7308;135045.1142;2551.575812
599651.0485;135045.1142;2567.474399
599715.3663;135045.1142;2589.621199
599779.684;135045.1142;2630.890908
599844.0018;135045.1142;2671.253063
599908.3195;135045.1142;2698.001687
599972.6373;135045.1142;2703.327568
600036.955;135045.1142;2700.180672
600101.2728;135045.1142;2697.993893
600165.5905;135045.1142;2696.336005
600229.9083;135045.1142;2689.465119
600294.226;135045.1142;2673.045192
600358.5438;135045.1142;2653.049213
600422.8615;135045.1142;2634.597381
600487.1793;135045.1142;2619.246919
600551.497;135045.1142;2608.197184
600615.8148;135045.1142;2601.628899
600680.1325;135045.1142;2599.646665
600744.4503;135045.1142;2596.213696
600808.768;135045.1142;2592.410438
600873.0858;135045.1142;2585.031715
600937.4035;135045.1142;2570.105865
601001.7213;135045.1142;2551.144912
601066.039;135045.1142;2532.004936
601130.3568;135045.1142;2514.663914
601194.6745;135045.1142;2502.019953
601258.9923;135045.1142;2499.139941
601323.31;135045.1142;2497.004808
601387.6278;135045.1142;2497.637529
601451.9455;135045.1142;2501.224587
601516.2632;135045.1142;2512.682673
601580.581;135045.1142;2526.752887
601644.8987;135045.1142;2540.651188
601709.2165;135045.1142;2551.904817
601773.5342;135045.1142;2557.879634
601837.852;135045.1142;2556.635761
601902.1697;135045.1142;2547.544332
601966.4875;135045.1142;2531.724572
602030.8052;135045.1142;2512.470187
602095.123;135045.1142;2497.599694
602159.4407;135045.1142;2494.050358
602223.7585;135045.1142;2493.966782
602288.0762;135045.1142;2494.74706
602352.394;135045.1142;2495.092434
602416.7117;135045.1142;2494.679215
602481.0295;135045.1142;2494.050868
602545.3472;135045.1142;2492.977
602609.665;135045.1142;2492.270373
602673.9827;135045.1142;2491.641239
602738.3005;135045.1142;2493.008025
602802.6182;135045.1142;2493.822541
602866.936;135045.1142;2497.519365
602931.2537;135045.1142;2518.238801
602995.5715;135045.1142;2551.322648
603059.8892;135045.1142;2586.639567
603124.207;135045.1142;2613.376528
603188.5247;135045.1142;2636.302543
